table_name,column_name,data_type,is_nullable,column_default,constraint_type,foreign_table,foreign_column
bank_statement_payments,id,uuid,NO,uuid_generate_v4(),PRIMARY KEY,null,null
bank_statement_payments,company_id,uuid,NO,null,FOREIGN KEY,companies,id
bank_statement_payments,bank_statement_id,uuid,NO,null,FOREIGN KEY,uploaded_documents,id
bank_statement_payments,transaction_type,character varying,NO,null,null,null,null
bank_statement_payments,transaction_date,date,YES,null,null,null,null
bank_statement_payments,amount,numeric,NO,null,null,null,null
bank_statement_payments,currency,character varying,YES,'EUR'::character varying,null,null,null
bank_statement_payments,description,text,YES,null,null,null,null
bank_statement_payments,reference,character varying,YES,null,null,null,null
bank_statement_payments,counterparty,character varying,YES,null,null,null,null
bank_statement_payments,counterparty_iban,character varying,YES,null,null,null,null
bank_statement_payments,matched_invoice_id,uuid,YES,null,FOREIGN KEY,uploaded_documents,id
bank_statement_payments,trip_id,uuid,YES,null,FOREIGN KEY,trips,id
bank_statement_payments,truck_id,uuid,YES,null,FOREIGN KEY,truck_heads,id
bank_statement_payments,expense_category,character varying,YES,null,null,null,null
bank_statement_payments,ai_suggested_category,character varying,YES,null,null,null,null
bank_statement_payments,user_modified_category,boolean,YES,false,null,null,null
bank_statement_payments,status,character varying,YES,'pending'::character varying,null,null,null
bank_statement_payments,created_at,timestamp with time zone,YES,now(),null,null,null
bank_statement_payments,updated_at,timestamp with time zone,YES,now(),null,null,null
bank_statement_payments,processed_by,uuid,YES,null,FOREIGN KEY,null,null
bank_statement_payments,processed_at,timestamp with time zone,YES,null,null,null,null
companies,id,uuid,NO,uuid_generate_v4(),PRIMARY KEY,null,null
companies,name,character varying,NO,null,null,null,null
companies,cui,character varying,YES,null,UNIQUE,null,null
companies,j_number,character varying,YES,null,null,null,null
companies,address,text,YES,null,null,null,null
companies,city,character varying,YES,null,null,null,null
companies,county,character varying,YES,null,null,null,null
companies,country,character varying,YES,'Romania'::character varying,null,null,null
companies,phone,character varying,YES,null,null,null,null
companies,email,character varying,YES,null,null,null,null
companies,subscription_plan,character varying,YES,'basic'::character varying,null,null,null
companies,subscription_status,character varying,YES,'active'::character varying,null,null,null
companies,subscription_expires_at,timestamp with time zone,YES,null,null,null,null
companies,settings,jsonb,YES,'{}'::jsonb,null,null,null
companies,created_at,timestamp with time zone,YES,now(),null,null,null
companies,updated_at,timestamp with time zone,YES,now(),null,null,null
dkv_import_batches,id,uuid,NO,uuid_generate_v4(),PRIMARY KEY,null,null
dkv_import_batches,company_id,uuid,NO,null,FOREIGN KEY,companies,id
dkv_import_batches,uploaded_document_id,uuid,YES,null,FOREIGN KEY,uploaded_documents,id
dkv_import_batches,file_name,character varying,YES,null,null,null,null
dkv_import_batches,import_date,timestamp with time zone,YES,now(),null,null,null
dkv_import_batches,total_transactions,integer,YES,0,null,null,null
dkv_import_batches,matched_transactions,integer,YES,0,null,null,null
dkv_import_batches,unmatched_transactions,integer,YES,0,null,null,null
dkv_import_batches,total_amount,numeric,YES,0,null,null,null
dkv_import_batches,currency,character varying,YES,'EUR'::character varying,null,null,null
dkv_import_batches,period_start,date,YES,null,null,null,null
dkv_import_batches,period_end,date,YES,null,null,null,null
dkv_import_batches,status,character varying,YES,'imported'::character varying,null,null,null
